surname,name, #  Games , Avg.  Game  Length  (Moves) , Avg.  Moves  in  King's  Direction , Avg.  Moves  around  King  (<=3  squares  away) , Avg.  Piece  moves  past  half , Avg.  Pawn  moves  past  half , #  Pieces  by  EOG , #  Pawns  by  EOG , King  Moves 
 Le  Doan,Minh  Thuc ,2.0,43.5,24.5,19.0,12.0,2.5,0.0,0.0,5.5
 Karlsson,J ,1.0,44.0,22.0,19.0,7.0,3.0,0.0,0.0,6.0
 Ask,J ,4.0,44.75,19.0,16.25,13.0,3.75,0.0,0.0,4.5
 Tronsson,Martin ,1.0,34.0,18.0,15.0,3.0,1.0,0.0,0.0,3.0
 Ostlund,A ,4.0,39.5,21.5,17.0,8.75,1.75,0.0,0.0,3.75
 Wahlstrom,L ,5.0,42.6,25.4,18.0,10.6,2.2,0.0,0.0,4.8
 Bergdahl,Daniel ,5.0,35.2,23.2,16.2,4.8,1.8,0.0,0.0,3.0
 Goransson,Martin ,4.0,41.75,23.5,16.25,5.5,1.75,0.0,0.0,5.5
 Morell,Ludvig ,4.0,34.75,18.0,14.25,6.25,2.5,0.0,0.0,3.0
 Wakeham,D ,4.0,39.25,19.5,16.0,6.5,4.5,0.0,0.0,3.5
 Dingertz,Filip ,4.0,27.75,13.25,12.0,4.0,2.25,0.0,0.0,1.5
 Eriksson,L ,4.0,34.0,21.0,15.0,3.75,1.0,0.0,0.0,3.75
 Harila,P ,4.0,36.5,20.25,14.75,7.5,2.0,0.0,0.0,2.5
 Wiklund,Johan ,2.0,56.5,29.5,20.0,11.5,4.5,0.0,0.0,10.5
 Ljung,Rickard ,3.0,49.0,31.666666666666668,16.666666666666668,11.666666666666666,4.333333333333333,0.0,0.0,13.666666666666666
 Johansson,Sven ,3.0,37.666666666666664,17.333333333333332,18.0,6.333333333333333,3.6666666666666665,0.0,0.0,3.3333333333333335
 Torres,Lucas ,6.0,54.5,30.333333333333332,21.166666666666668,10.666666666666666,3.8333333333333335,0.0,0.0,8.5
 Halvarsson,Peter ,3.0,37.0,21.0,15.333333333333334,2.6666666666666665,1.6666666666666667,0.0,0.0,2.6666666666666665
 Levin,Magnus ,4.0,41.0,25.5,16.5,5.5,4.0,0.0,0.0,6.5
 Langhals,Mattias ,6.0,41.666666666666664,22.333333333333332,16.666666666666668,10.0,2.6666666666666665,0.0,0.0,4.333333333333333
 Johansson,Isac ,4.0,44.75,26.25,17.75,7.5,4.0,0.0,0.0,7.5
 Eriksson,Joakim ,2.0,31.5,19.0,12.0,3.5,2.0,0.0,0.0,1.5
 Kallen,J ,6.0,49.0,31.0,19.166666666666668,6.333333333333333,3.6666666666666665,0.0,0.0,7.833333333333333
 Fransson,Percy ,6.0,45.0,25.333333333333332,16.5,5.5,3.1666666666666665,0.0,0.0,4.5
 Troberg  Eskola,Love ,6.0,46.333333333333336,23.833333333333332,17.333333333333332,7.166666666666667,3.0,0.0,0.0,5.5
 Kleist,Axel ,6.0,43.166666666666664,23.5,18.0,8.166666666666666,5.166666666666667,0.0,0.0,5.0
 Silwer,Martin ,5.0,64.0,38.8,25.2,11.2,5.0,0.0,0.0,13.2
 Lindholm,Gustav ,6.0,43.5,29.0,16.0,7.5,2.5,0.0,0.0,7.666666666666667
 Gorton,Olof ,4.0,32.0,14.0,11.25,6.25,3.0,0.0,0.0,3.0
 Dingertz,Gustav ,6.0,41.833333333333336,21.333333333333332,16.666666666666668,7.0,3.6666666666666665,0.0,0.0,4.333333333333333
 Berlin,Johan ,1.0,25.0,11.0,12.0,2.0,2.0,0.0,0.0,2.0
 Johansson,Eva ,1.0,53.0,34.0,27.0,2.0,3.0,0.0,0.0,2.0
 Olsson,T ,1.0,38.0,24.0,16.0,5.0,2.0,0.0,0.0,2.0
 Bende,Tobias ,6.0,36.0,16.5,14.0,9.666666666666666,2.1666666666666665,0.0,0.0,4.166666666666667
 Marttala,T ,1.0,52.0,29.0,18.0,13.0,4.0,0.0,0.0,12.0
 Jakobcic,Oliver ,1.0,36.0,17.0,15.0,5.0,4.0,0.0,0.0,1.0
 Fransson,A ,6.0,46.333333333333336,21.833333333333332,17.0,12.333333333333334,3.5,0.0,0.0,7.0
 Berling,Egil ,6.0,42.333333333333336,24.166666666666668,16.833333333333332,8.333333333333334,4.0,0.0,0.0,6.166666666666667
 Preman,Nathan ,2.0,37.0,16.0,14.0,6.0,3.5,0.0,0.0,2.0
 Matus,Daniel ,4.0,34.25,15.25,15.0,8.25,3.0,0.0,0.0,2.75
 Frisk,H ,2.0,46.0,27.5,17.0,7.5,3.0,0.0,0.0,5.5
 Hari,Sriyansh ,2.0,44.0,28.0,16.0,11.0,5.5,0.0,0.0,10.5
 Varjomaa,Stefan ,2.0,28.0,10.5,12.5,2.0,3.5,0.0,0.0,1.5
 Eriksson,K ,5.0,36.2,19.2,15.8,8.6,2.0,0.0,0.0,3.6
 Ljungros,Lo ,4.0,31.5,15.75,14.0,4.5,2.25,0.0,0.0,1.5
 Morell,Oscar ,3.0,44.333333333333336,17.333333333333332,19.0,10.333333333333334,5.333333333333333,0.0,0.0,3.3333333333333335
 Nilsson,Mattias  1979 ,1.0,55.0,37.0,24.0,7.0,0.0,0.0,0.0,10.0
 Blixt,Mikael ,2.0,44.0,22.5,18.0,6.5,3.0,0.0,0.0,5.5
 Nodtveidt,Svante ,1.0,34.0,17.0,12.0,5.0,3.0,0.0,0.0,8.0
 Spang,Lukas ,2.0,44.0,18.5,15.5,10.5,5.0,0.0,0.0,4.0
 Lindholm,Marcus ,1.0,62.0,49.0,22.0,5.0,4.0,0.0,0.0,13.0
 Usov,Aleksandr  E. ,10.0,34.3,22.0,15.7,6.7,1.4,0.0,0.0,5.2
 Shogdzhiev,Roman ,10.0,34.3,22.9,15.2,9.9,1.6,0.0,0.0,4.8
 Korneev,O ,2.0,24.5,9.0,10.5,6.0,1.5,0.0,0.0,1.0
 Burnett,J ,1.0,24.0,15.0,11.0,1.0,0.0,0.0,0.0,5.0
 Rich,Aaron ,1.0,32.0,22.0,16.0,6.0,2.0,0.0,0.0,4.0
 Gormally,D ,2.0,27.0,10.5,11.0,5.0,2.5,0.0,0.0,1.5
 Hebden,M ,2.0,39.5,19.0,16.5,11.5,2.0,0.0,0.0,5.5
 Burke,Alex ,1.0,55.0,32.0,25.0,8.0,3.0,0.0,0.0,14.0
 Ward,Cian ,1.0,29.0,24.0,12.0,2.0,1.0,0.0,0.0,3.0
 Wells,P ,1.0,29.0,17.0,18.0,4.0,2.0,0.0,0.0,1.0
 Elgar,Tim ,1.0,55.0,27.0,23.0,7.0,3.0,0.0,0.0,6.0
 Ackley,P ,1.0,55.0,25.0,18.0,20.0,4.0,0.0,0.0,3.0
 Zhu,Yaoyao ,1.0,54.0,39.0,21.0,7.0,1.0,0.0,0.0,6.0
 Quaite,Toby ,1.0,54.0,42.0,25.0,2.0,3.0,0.0,0.0,8.0
 Peart,Alan ,2.0,34.0,10.0,14.5,12.5,4.0,0.0,0.0,1.5
 Turner,Lewis  A ,1.0,31.0,24.0,11.0,0.0,2.0,0.0,0.0,7.0
 Naylor-Eade,Michael  A ,2.0,58.5,36.0,24.5,12.5,6.0,0.0,0.0,8.0
 Sasikumar,Srivathsan ,1.0,75.0,61.0,29.0,3.0,1.0,0.0,0.0,8.0
 Sooraj,M  R ,1.0,48.0,24.0,17.0,11.0,4.0,0.0,0.0,6.0
 Ashton,Alannah ,1.0,48.0,32.0,14.0,5.0,1.0,0.0,0.0,9.0
 Sullivan,Daniel ,1.0,25.0,15.0,12.0,4.0,1.0,0.0,0.0,1.0
 Heritage,Jamie ,1.0,25.0,13.0,12.0,4.0,0.0,0.0,0.0,1.0
 Ganti,Shriaansh ,1.0,37.0,19.0,18.0,7.0,2.0,0.0,0.0,2.0
 De  Sousa  Muachikape,Jael ,1.0,37.0,20.0,19.0,6.0,4.0,0.0,0.0,6.0
 Kaushik,Madhav ,1.0,33.0,18.0,11.0,1.0,2.0,0.0,0.0,4.0
 Potter,JM ,1.0,33.0,13.0,11.0,7.0,3.0,0.0,0.0,1.0
 Jarmany,John ,1.0,37.0,18.0,12.0,7.0,4.0,0.0,0.0,4.0
 Cuaresma,Gerald ,2.0,31.0,13.5,11.5,4.5,2.0,0.0,0.0,1.5
 Bramson,Mike ,1.0,32.0,16.0,15.0,4.0,1.0,0.0,0.0,3.0
 Malinovsky,I ,2.0,37.0,18.0,15.0,5.0,3.0,0.0,0.0,2.0
 Mitchell,M ,2.0,32.5,12.0,11.5,4.0,3.5,0.0,0.0,2.5
 Fawcett,James ,1.0,43.0,24.0,20.0,10.0,1.0,0.0,0.0,2.0
 Fossey,Isaac ,1.0,51.0,34.0,22.0,8.0,3.0,0.0,0.0,12.0
 Okhai,Shabir ,1.0,51.0,24.0,18.0,9.0,9.0,0.0,0.0,9.0
 White,S ,1.0,31.0,7.0,16.0,3.0,4.0,0.0,0.0,0.0
 Ronald,Ted ,2.0,27.5,12.5,10.5,5.5,4.0,0.0,0.0,2.5
 Maharnab,Choudhury ,1.0,80.0,47.0,32.0,18.0,5.0,0.0,0.0,22.0
 Rughani,Mahin ,1.0,80.0,61.0,35.0,12.0,5.0,0.0,0.0,24.0
 Wang,Anlan ,1.0,37.0,23.0,16.0,3.0,1.0,0.0,0.0,3.0
